Temps;Déplacement;Charge;Contrainte de compr.
(sec);(mm);(N);(MPa)
0,001;-0,218;-0,997;0,048
0,101;-0,682;-54,343;2,641
0,167;-1,434;-433,6;21,072
0,267;-2,82;-301,098;14,632
0,367;-4,322;-238,427;11,587
0,467;-5,675;-233,185;11,332
0,567;-6,831;-188,428;9,157
0,667;-7,997;-204,181;9,923
0,767;-9,165;-193,915;9,424
0,867;-10,331;-215,301;10,463
0,967;-11,498;-218,301;10,609
1,067;-12,665;-245,995;11,955
1,167;-13,831;-283,151;13,76
1,267;-14,997;-295,611;14,366
1,367;-16,164;-255,966;12,439
1,467;-17,331;-264,366;12,847
1,567;-18,497;-257,135;12,496
1,667;-19,664;-285,748;13,886
1,767;-20,831;-306,408;14,891
1,867;-21,997;-308,038;14,97
1,967;-23,164;-321,866;15,642
2,067;-24,331;-272,136;13,225
2,167;-25,497;-253,798;12,334
2,267;-26,664;-252,765;12,284
2,367;-27,831;-275,187;13,373
2,467;-28,997;-280,875;13,65
2,567;-30,164;-299,687;14,564
2,667;-31,331;-213,987;10,399
2,767;-32,498;-201,625;9,798
2,867;-33,664;-202,557;9,844
2,967;-34,831;-209,147;10,164
3,067;-35,998;-221,324;10,756
3,167;-37,164;-246,596;11,984
3,267;-38,331;-271,709;13,204
3,367;-39,497;-288,002;13,996
3,467;-40,664;-320,48;15,574
3,567;-41,831;-355,436;17,273
3,667;-42,997;-394,774;19,185
3,767;-44,164;-442,515;21,505
3,867;-45,331;-465,107;22,603
3,967;-46,498;-454,836;22,104
4,067;-47,664;-452,145;21,973
4,167;-48,83;-501,301;24,362
4,267;-49,998;-446,25;21,686
4,367;-51,165;-434,99;21,139
4,467;-52,331;-445,556;21,653
4,567;-53,497;-458,779;22,295
4,667;-54,664;-501,13;24,353
4,767;-55,831;-520,944;25,316
4,867;-56,998;-524,252;25,477
4,967;-58,165;-460,467;22,377
5,067;-59,331;-497,838;24,193
5,167;-60,498;-534,302;25,965
5,267;-61,665;-419,512;20,387
5,367;-62,83;-453,283;22,028
5,467;-63,997;-502,192;24,405
5,567;-65,164;-547,169;26,591
5,667;-66,331;-581,35;28,252
5,767;-67,498;-480,427;23,347
5,867;-68,664;-464,705;22,583
5,967;-69,831;-435,349;21,157
6,067;-70,998;-423,916;20,601
6,167;-72,164;-441,441;21,453
6,267;-73,33;-486,667;23,651
6,367;-74,498;-488,944;23,761
6,467;-75,664;-503,957;24,491
6,567;-76,831;-615,035;29,889
6,667;-77,998;-694,265;33,739
6,767;-79,164;-708,527;34,432
6,867;-80,331;-743,601;36,137
6,967;-81,498;-807,076;39,221
7,067;-82,665;-821,032;39,9
7,167;-83,831;-783,941;38,097
7,267;-84,998;-718,374;34,911
7,367;-86,164;-765,748;37,213
7,467;-87,331;-857,093;41,652
7,567;-88,498;-943,371;45,845
7,667;-89,664;-1035,168;50,306
7,767;-90,831;-1128,082;54,821
7,867;-91,998;-1181,365;57,411
7,944;-92,896;-1224,986;59,531
