Essai : Vitesse 1;700,00000;mm/min

Temps;Déplacement;Charge;Contrainte de compr.
(sec);(mm);(N);(MPa)
0,001;-0,900;-130,644;6,349
0,100;-1,358;-505,748;24,578
0,200;-2,551;-532,369;25,871
0,300;-3,978;-282,658;13,736
0,400;-5,481;-178,531;8,676
0,500;-6,742;-183,988;8,941
0,600;-7,899;-190,350;9,250
0,700;-9,066;-206,316;10,026
0,800;-10,234;-194,351;9,445
0,900;-11,400;-199,107;9,676
1,000;-12,567;-240,609;11,693
1,100;-13,734;-256,491;12,465
1,200;-14,900;-300,949;14,625
1,300;-16,067;-281,793;13,694
1,400;-17,234;-234,553;11,399
1,500;-18,400;-207,876;10,102
1,600;-19,567;-190,450;9,255
1,700;-20,734;-210,362;10,223
1,800;-21,900;-247,232;12,015
1,900;-23,067;-242,213;11,771
2,000;-24,234;-236,301;11,484
2,100;-25,400;-240,271;11,676
2,200;-26,567;-256,674;12,474
2,300;-27,734;-269,266;13,086
2,400;-28,900;-286,902;13,943
2,500;-30,067;-312,493;15,186
2,600;-31,234;-348,403;16,931
2,700;-32,400;-383,635;18,643
2,800;-33,567;-399,798;19,429
2,900;-34,734;-394,100;19,152
3,000;-35,900;-402,576;19,564
3,100;-37,066;-406,694;19,764
3,200;-38,234;-379,835;18,459
3,300;-39,400;-344,646;16,749
3,400;-40,567;-319,403;15,522
3,500;-41,734;-308,448;14,990
3,600;-42,900;-335,647;16,311
3,700;-44,067;-367,886;17,878
3,800;-45,234;-416,611;20,246
3,900;-46,400;-431,249;20,957
4,000;-47,566;-419,668;20,395
4,100;-48,734;-449,734;21,856
4,200;-49,900;-456,476;22,183
4,300;-51,067;-485,200;23,579
4,400;-52,234;-452,076;21,970
4,500;-53,400;-435,004;21,140
4,600;-54,567;-457,261;22,222
4,700;-55,734;-526,255;25,574
4,800;-56,900;-537,604;26,126
4,900;-58,067;-561,133;27,269
5,000;-59,234;-593,224;28,829
5,100;-60,400;-624,729;30,360
5,200;-61,567;-663,697;32,254
5,300;-62,734;-659,197;32,035
5,400;-63,900;-723,792;35,174
5,500;-65,067;-713,642;34,681
5,600;-66,234;-753,671;36,626
5,700;-67,400;-726,922;35,326
5,800;-68,567;-758,868;36,879
5,900;-69,734;-812,181;39,470
6,000;-70,900;-836,460;40,649
6,100;-72,067;-852,937;41,450
6,200;-73,234;-955,792;46,449
6,300;-74,400;-1136,093;55,211
6,400;-75,567;-1188,841;57,774
6,500;-76,734;-1209,348;58,771
6,600;-77,900;-1216,177;59,102
6,700;-79,067;-1329,266;64,598
6,800;-80,234;-1417,418;68,882
6,900;-81,401;-1463,124;71,103
7,000;-82,567;-1147,423;55,761
7,100;-83,734;-1076,369;52,308
7,200;-84,900;-1136,161;55,214
7,300;-86,067;-1268,149;61,628
7,400;-87,234;-1328,117;64,542
7,500;-88,400;-1392,019;67,648
7,600;-89,567;-1528,685;74,289
7,700;-90,734;-1715,747;83,380
7,800;-91,900;-1881,015;91,412
7,900;-93,067;-1814,361;88,172
8,000;-94,234;-1706,845;82,947
8,100;-95,400;-1940,144;94,285
8,178;-96,310;-2317,499;112,623
8,268;-97,360;-2693,104;130,877
8,368;-98,527;-3058,464;148,632
8,455;-99,542;-3436,110;166,984
8,495;-100,008;-3587,065;174,320
